0
yolov3-bdd100k
Total BFLOPS 65.864 

 seen 64 
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
 If error occurs - run training with flag: -dont_show 
Resizing
512 x 512 
 try to allocate workspace = 18874369 * sizeof(float),  CUDA allocate done! 
Loaded: 0.000027 seconds
Region 106 Avg IOU: 0.005021, Class: 0.510179, Obj: 0.415628, No Obj: 0.590208, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.000027, Class: 0.610189, Obj: 0.669075, No Obj: 0.422825, .5R: 0.000000, .75R: 0.000000,  count: 9
Region 94 Avg IOU: 0.006888, Class: 0.712129, Obj: 0.463434, No Obj: 0.522604, .5R: 0.000000, .75R: 0.000000,  count: 13
Region 106 Avg IOU: 0.006241, Class: 0.265642, Obj: 0.565691, No Obj: 0.592187, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 82 Avg IOU: 0.007729, Class: 0.581870, Obj: 0.347842, No Obj: 0.424234, .5R: 0.000000, .75R: 0.000000,  count: 9
Region 94 Avg IOU: 0.000000, Class: 0.783336, Obj: 0.268734, No Obj: 0.524337, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.594160, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.007830, Class: 0.436759, Obj: 0.189094, No Obj: 0.426165, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 94 Avg IOU: 0.012666, Class: 0.510745, Obj: 0.758493, No Obj: 0.526029, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 106 Avg IOU: 0.005272, Class: 0.607401, Obj: 0.789347, No Obj: 0.596076, .5R: 0.000000, .75R: 0.000000,  count: 19
Region 82 Avg IOU: 0.015624, Class: 0.506568, Obj: 0.488305, No Obj: 0.428243, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 94 Avg IOU: 0.024330, Class: 0.518494, Obj: 0.334357, No Obj: 0.527556, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 106 Avg IOU: 0.004015, Class: 0.335525, Obj: 0.531640, No Obj: 0.597944, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 82 Avg IOU: 0.000482, Class: 0.508865, Obj: 0.338586, No Obj: 0.430286, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 94 Avg IOU: 0.000000, Class: 0.000000, Obj: 0.000000, No Obj: 0.529085, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.050050, Class: 0.152176, Obj: 0.767352, No Obj: 0.599725, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 82 Avg IOU: 0.001174, Class: 0.503207, Obj: 0.624505, No Obj: 0.432393, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 94 Avg IOU: 0.002515, Class: 0.462233, Obj: 0.504640, No Obj: 0.530823, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 106 Avg IOU: 0.000819, Class: 0.715141, Obj: 0.632392, No Obj: 0.601435, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 82 Avg IOU: 0.027202, Class: 0.458045, Obj: 0.690348, No Obj: 0.434559, .5R: 0.000000, .75R: 0.000000,  count: 11
Region 94 Avg IOU: 0.013635, Class: 0.587291, Obj: 0.436679, No Obj: 0.532741, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 106 Avg IOU: 0.008001, Class: 0.331862, Obj: 0.660651, No Obj: 0.603091, .5R: 0.000000, .75R: 0.000000,  count: 16
Region 82 Avg IOU: 0.000075, Class: 0.794315, Obj: 0.181011, No Obj: 0.436626, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 94 Avg IOU: 0.002154, Class: 0.643080, Obj: 0.653229, No Obj: 0.534712, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 106 Avg IOU: 0.011794, Class: 0.371238, Obj: 0.231465, No Obj: 0.604685, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 82 Avg IOU: 0.001641, Class: 0.523100, Obj: 0.345754, No Obj: 0.438660, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 94 Avg IOU: 0.024649, Class: 0.553336, Obj: 0.623444, No Obj: 0.536671, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 106 Avg IOU: 0.031128, Class: 0.491974, Obj: 0.737430, No Obj: 0.606302, .5R: 0.000000, .75R: 0.000000,  count: 13
Region 82 Avg IOU: 0.000864, Class: 0.667119, Obj: 0.552729, No Obj: 0.440798, .5R: 0.000000, .75R: 0.000000,  count: 15
Region 94 Avg IOU: 0.000388, Class: 0.444156, Obj: 0.436685, No Obj: 0.538588, .5R: 0.000000, .75R: 0.000000,  count: 14
Region 106 Avg IOU: 0.007473, Class: 0.450553, Obj: 0.583491, No Obj: 0.607910, .5R: 0.000000, .75R: 0.000000,  count: 9
Region 82 Avg IOU: 0.007515, Class: 0.706793, Obj: 0.535693, No Obj: 0.443046, .5R: 0.000000, .75R: 0.000000,  count: 19
Region 94 Avg IOU: 0.001757, Class: 0.500621, Obj: 0.428150, No Obj: 0.540473, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 106 Avg IOU: 0.018265, Class: 0.379634, Obj: 0.641286, No Obj: 0.609509, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 82 Avg IOU: 0.069824, Class: 0.670455, Obj: 0.381043, No Obj: 0.444960, .5R: 0.125000, .75R: 0.000000,  count: 8
Region 94 Avg IOU: 0.000995, Class: 0.709813, Obj: 0.168255, No Obj: 0.542277, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 106 Avg IOU: 0.009299, Class: 0.516599, Obj: 0.503114, No Obj: 0.611087, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 82 Avg IOU: 0.015200, Class: 0.331882, Obj: 0.577380, No Obj: 0.446566, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: 0.000171, Class: 0.336198, Obj: 0.666515, No Obj: 0.544051, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.000000, Class: 1.000000, Obj: 1.000000, No Obj: 0.612684, .5R: 0.000000, .75R: 0.000000,  count: 1

 2: 6486.295898, 3518.191406 avg loss, 0.000000 rate, 7.994148 seconds, 128 images
Loaded: 0.000335 seconds
Region 82 Avg IOU: 0.000006, Class: 0.828729, Obj: 0.057505, No Obj: 0.447966, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 94 Avg IOU: 0.000607, Class: 0.635309, Obj: 0.504101, No Obj: 0.545820, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 106 Avg IOU: 0.006754, Class: 0.508294, Obj: 0.615546, No Obj: 0.614357, .5R: 0.000000, .75R: 0.000000,  count: 13
Region 82 Avg IOU: 0.000044, Class: 0.452787, Obj: 0.184142, No Obj: 0.449517, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 94 Avg IOU: 0.000958, Class: 0.533442, Obj: 0.611327, No Obj: 0.547562, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.000642, Class: 0.834340, Obj: 0.468899, No Obj: 0.616064, .5R: 0.000000, .75R: 0.000000,  count: 13
Region 82 Avg IOU: 0.002545, Class: 0.499004, Obj: 0.221457, No Obj: 0.451277, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 94 Avg IOU: 0.005855, Class: 0.487269, Obj: 0.458128, No Obj: 0.549278, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.000000, Class: 0.526523, Obj: 0.375988, No Obj: 0.617784, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 82 Avg IOU: 0.000033, Class: 0.288769, Obj: 0.455011, No Obj: 0.453121, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 94 Avg IOU: 0.005659, Class: 0.585632, Obj: 0.498015, No Obj: 0.550803, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 106 Avg IOU: 0.001793, Class: 0.525957, Obj: 0.476444, No Obj: 0.619520, .5R: 0.000000, .75R: 0.000000,  count: 22
Region 82 Avg IOU: 0.065546, Class: 0.643514, Obj: 0.518028, No Obj: 0.454933, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 94 Avg IOU: 0.021896, Class: 0.500145, Obj: 0.328229, No Obj: 0.552155, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.000636, Class: 0.527175, Obj: 0.465806, No Obj: 0.621211, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.000056, Class: 0.336437, Obj: 0.169450, No Obj: 0.456570, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 94 Avg IOU: 0.007571, Class: 0.398693, Obj: 0.389242, No Obj: 0.553493, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 106 Avg IOU: 0.039584, Class: 0.411696, Obj: 0.712428, No Obj: 0.622827, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 82 Avg IOU: 0.012739, Class: 0.736144, Obj: 0.655031, No Obj: 0.458247, .5R: 0.000000, .75R: 0.000000,  count: 9
Region 94 Avg IOU: 0.000001, Class: 0.500000, Obj: 0.499999, No Obj: 0.554751, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.624322, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.000166, Class: 0.374461, Obj: 0.206497, No Obj: 0.459761, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 94 Avg IOU: 0.019684, Class: 0.360121, Obj: 0.261419, No Obj: 0.555907, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.008414, Class: 0.491141, Obj: 0.532347, No Obj: 0.625697, .5R: 0.000000, .75R: 0.000000,  count: 26
Region 82 Avg IOU: 0.022060, Class: 0.492578, Obj: 0.283347, No Obj: 0.461227, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 94 Avg IOU: 0.000001, Class: 0.555772, Obj: 0.121427, No Obj: 0.557092, .5R: 0.000000, .75R: 0.000000,  count: 9
Region 106 Avg IOU: 0.001144, Class: 0.535331, Obj: 0.664916, No Obj: 0.627067, .5R: 0.000000, .75R: 0.000000,  count: 9
Region 82 Avg IOU: 0.001095, Class: 0.731749, Obj: 0.340321, No Obj: 0.462796, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 94 Avg IOU: 0.001017, Class: 0.353404, Obj: 0.681455, No Obj: 0.558324, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 106 Avg IOU: 0.000937, Class: 0.501236, Obj: 0.798748, No Obj: 0.628474, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: 0.021851, Class: 0.607064, Obj: 0.165834, No Obj: 0.464333, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 94 Avg IOU: 0.021030, Class: 0.379524, Obj: 0.133309, No Obj: 0.559480, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 106 Avg IOU: 0.008499, Class: 0.328206, Obj: 0.395397, No Obj: 0.629928, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 82 Avg IOU: 0.000089, Class: 0.999884, Obj: 0.499924, No Obj: 0.465804, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.000788, Class: 0.483247, Obj: 0.232838, No Obj: 0.560549, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 106 Avg IOU: 0.000668, Class: 0.085713, Obj: 0.501892, No Obj: 0.631400, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.069418, Class: 0.357304, Obj: 0.475553, No Obj: 0.467231, .5R: 0.125000, .75R: 0.000000,  count: 8
Region 94 Avg IOU: 0.037136, Class: 0.400359, Obj: 0.485612, No Obj: 0.561687, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 106 Avg IOU: 0.000363, Class: 0.358605, Obj: 0.836048, No Obj: 0.632811, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 82 Avg IOU: 0.003684, Class: 0.610959, Obj: 0.962354, No Obj: 0.468649, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.000460, Class: 0.806127, Obj: 0.021816, No Obj: 0.562836, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 106 Avg IOU: 0.001866, Class: 0.595774, Obj: 0.660723, No Obj: 0.634164, .5R: 0.000000, .75R: 0.000000,  count: 24
Region 82 Avg IOU: 0.003233, Class: 0.710391, Obj: 0.634185, No Obj: 0.470095, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 94 Avg IOU: 0.000208, Class: 0.519719, Obj: 0.613817, No Obj: 0.563895, .5R: 0.000000, .75R: 0.000000,  count: 13
Region 106 Avg IOU: 0.006620, Class: 0.579343, Obj: 0.637811, No Obj: 0.635558, .5R: 0.000000, .75R: 0.000000,  count: 19
Region 82 Avg IOU: 0.002942, Class: 0.439688, Obj: 0.498448, No Obj: 0.471573, .5R: 0.000000, .75R: 0.000000,  count: 14
Region 94 Avg IOU: 0.000210, Class: 0.782281, Obj: 0.680782, No Obj: 0.564886, .5R: 0.000000, .75R: 0.000000,  count: 15
Region 106 Avg IOU: 0.025757, Class: 0.559231, Obj: 0.752614, No Obj: 0.636918, .5R: 0.000000, .75R: 0.000000,  count: 15

 3: 11925.447266, 4358.916992 avg loss, 0.000000 rate, 8.469708 seconds, 192 images
Loaded: 0.001145 seconds
Region 82 Avg IOU: 0.002343, Class: 0.468529, Obj: 0.369222, No Obj: 0.473032, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 94 Avg IOU: 0.000000, Class: 0.499989, Obj: 0.460491, No Obj: 0.565932, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.004294, Class: 0.577467, Obj: 0.786247, No Obj: 0.638171, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: 0.008464, Class: 0.491117, Obj: 0.808253, No Obj: 0.474491, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 94 Avg IOU: 0.063025, Class: 0.747349, Obj: 0.576959, No Obj: 0.567095, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 106 Avg IOU: 0.000037, Class: 0.627862, Obj: 0.645527, No Obj: 0.639361, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 82 Avg IOU: 0.000022, Class: 0.221586, Obj: 0.200455, No Obj: 0.475999, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: 0.000028, Class: 0.604682, Obj: 0.051684, No Obj: 0.568286, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.011766, Class: 0.505254, Obj: 0.766421, No Obj: 0.640627, .5R: 0.000000, .75R: 0.000000,  count: 23
Region 82 Avg IOU: 0.000246, Class: 0.614789, Obj: 0.619024, No Obj: 0.477479, .5R: 0.000000, .75R: 0.000000,  count: 13
Region 94 Avg IOU: 0.005562, Class: 0.713907, Obj: 0.479698, No Obj: 0.569498, .5R: 0.000000, .75R: 0.000000,  count: 21
Region 106 Avg IOU: 0.000880, Class: 0.559735, Obj: 0.974131, No Obj: 0.641852, .5R: 0.000000, .75R: 0.000000,  count: 14
Region 82 Avg IOU: 0.015324, Class: 0.589665, Obj: 0.700150, No Obj: 0.479022, .5R: 0.000000, .75R: 0.000000,  count: 13
Region 94 Avg IOU: 0.000086, Class: 0.207609, Obj: 0.789182, No Obj: 0.570665, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 106 Avg IOU: 0.017945, Class: 0.004733, Obj: 0.753557, No Obj: 0.642988, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 82 Avg IOU: 0.036267, Class: 0.378947, Obj: 0.521547, No Obj: 0.480705, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 94 Avg IOU: 0.000105, Class: 0.000000, Obj: 0.000009, No Obj: 0.571760, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.644182, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.037487, Class: 0.405283, Obj: 0.388874, No Obj: 0.482447, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 94 Avg IOU: 0.036118, Class: 0.292156, Obj: 0.563555, No Obj: 0.572797, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 106 Avg IOU: 0.000031, Class: 0.233778, Obj: 0.620347, No Obj: 0.645405, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 82 Avg IOU: 0.011869, Class: 0.712355, Obj: 0.601047, No Obj: 0.484030, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 94 Avg IOU: 0.058076, Class: 0.411482, Obj: 0.576681, No Obj: 0.573792, .5R: 0.100000, .75R: 0.000000,  count: 10
Region 106 Avg IOU: 0.006326, Class: 0.666091, Obj: 0.436303, No Obj: 0.646534, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 82 Avg IOU: 0.000007, Class: 0.799650, Obj: 0.324275, No Obj: 0.485398, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: 0.011246, Class: 0.405835, Obj: 0.586939, No Obj: 0.574712, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.647597, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.005591, Class: 0.485174, Obj: 0.499975, No Obj: 0.486680, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 94 Avg IOU: 0.000055, Class: 0.742310, Obj: 0.586223, No Obj: 0.575601, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 106 Avg IOU: 0.011516, Class: 0.540324, Obj: 0.668679, No Obj: 0.648640, .5R: 0.000000, .75R: 0.000000,  count: 25
Region 82 Avg IOU: 0.000049, Class: 0.557010, Obj: 0.668186, No Obj: 0.487863, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 94 Avg IOU: 0.024780, Class: 0.617954, Obj: 0.597469, No Obj: 0.576554, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 106 Avg IOU: 0.000684, Class: 0.686049, Obj: 0.595991, No Obj: 0.649591, .5R: 0.000000, .75R: 0.000000,  count: 20
Region 82 Avg IOU: 0.000163, Class: 0.609592, Obj: 0.599843, No Obj: 0.489015, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 94 Avg IOU: 0.000282, Class: 0.140952, Obj: 0.403249, No Obj: 0.577522, .5R: 0.000000, .75R: 0.000000,  count: 8
Region 106 Avg IOU: 0.017117, Class: 0.421427, Obj: 0.635468, No Obj: 0.650540, .5R: 0.000000, .75R: 0.000000,  count: 12
Region 82 Avg IOU: 0.000031, Class: 0.743988, Obj: 0.278989, No Obj: 0.490210, .5R: 0.000000, .75R: 0.000000,  count: 5
