0
yolov3-bdd100k
Total BFLOPS 65.355 

 seen 64 
Learning Rate: 1e-06, Momentum: 0.9, Decay: 0.0005
 If error occurs - run training with flag: -dont_show 
Resizing
288 x 288 
 try to allocate workspace = 5971969 * sizeof(float),  CUDA allocate done! 
Loaded: 1.314476 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.559765, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.253528, Class: 0.405678, Obj: 0.592345, No Obj: 0.497175, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.177455, Class: 0.415015, Obj: 0.456189, No Obj: 0.516799, .5R: 0.016949, .75R: 0.000000,  count: 59
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.559887, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.221725, Class: 0.520252, Obj: 0.512298, No Obj: 0.497563, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.182088, Class: 0.438082, Obj: 0.514224, No Obj: 0.518557, .5R: 0.050847, .75R: 0.000000,  count: 59
Region 82 Avg IOU: 0.269506, Class: 0.222086, Obj: 0.726458, No Obj: 0.559783, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.378063, Class: 0.457264, Obj: 0.530446, No Obj: 0.497499, .5R: 0.333333, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.276636, Class: 0.462194, Obj: 0.492853, No Obj: 0.519449, .5R: 0.067797, .75R: 0.016949,  count: 59
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.558489, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.213172, Class: 0.313291, Obj: 0.610056, No Obj: 0.497265, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.226222, Class: 0.507811, Obj: 0.495701, No Obj: 0.517109, .5R: 0.038462, .75R: 0.000000,  count: 26
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.559066, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.467235, Class: 0.490157, Obj: 0.531788, No Obj: 0.497575, .5R: 0.166667, .75R: 0.166667,  count: 6
Region 106 Avg IOU: 0.254933, Class: 0.518670, Obj: 0.486698, No Obj: 0.518681, .5R: 0.076923, .75R: 0.000000,  count: 39
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.558277, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.385819, Class: 0.516998, Obj: 0.518883, No Obj: 0.496870, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.228589, Class: 0.483554, Obj: 0.503891, No Obj: 0.519397, .5R: 0.053097, .75R: 0.000000,  count: 113
Region 82 Avg IOU: 0.367494, Class: 0.784882, Obj: 0.638581, No Obj: 0.560771, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.366993, Class: 0.609921, Obj: 0.390616, No Obj: 0.496526, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.221190, Class: 0.482317, Obj: 0.532409, No Obj: 0.518110, .5R: 0.101266, .75R: 0.000000,  count: 79
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.558419, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.372058, Class: 0.431568, Obj: 0.342649, No Obj: 0.496822, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.200755, Class: 0.497609, Obj: 0.517749, No Obj: 0.518738, .5R: 0.032967, .75R: 0.000000,  count: 91
Region 82 Avg IOU: 0.330841, Class: 0.638917, Obj: 0.556792, No Obj: 0.559139, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.420680, Class: 0.567425, Obj: 0.437563, No Obj: 0.497335, .5R: 0.600000, .75R: 0.000000,  count: 5
Region 106 Avg IOU: 0.244009, Class: 0.463512, Obj: 0.523181, No Obj: 0.518743, .5R: 0.070175, .75R: 0.000000,  count: 57
Region 82 Avg IOU: 0.422032, Class: 0.478276, Obj: 0.585277, No Obj: 0.559127, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.372512, Class: 0.312526, Obj: 0.353074, No Obj: 0.496405, .5R: 0.333333, .75R: 0.000000,  count: 6
